机构名称,经度,纬度,县市区,地址,建筑面积
圣莱恩综合服务中心,121.18781558940628,36.78067853290703,莱山区,莱山街道,190.0
东沟村助餐点,120.23765620233982,37.40998309511864,莱山区,莱山街道,40.0
南村助餐点,120.91486842460766,38.36465481550788,莱山区,莱山街道,36.0
明泉村助餐点,121.37818530155576,37.39156871074415,莱山区,莱山街道,44.0
千金村助餐点,121.3791865528772,37.376530774720216,莱山区,莱山街道,30.0
金村助餐点,121.4145540086022,37.36381399170424,莱山区,莱山街道,45.0
曲村助餐点,121.42542377476455,37.36117027123326,莱山区,莱山街道,35.0
朱塂堡村助餐点,121.35181195008832,37.35778433043856,莱山区,莱山街道,60.0
解村老年食堂,121.37474056941666,37.58359014166243,莱山区,莱山街道,60.0
河西社区助餐点,117.2294162800198,39.11571808221552,莱山区,初家街道,80.0
远陵夼村助餐点,121.41544404970148,37.490642720402334,莱山区,初家街道,120.0
曹家社区助餐点,120.27107586222752,37.45035989789725,莱山区,初家街道,100.0
界牌村助餐点,121.39419157862422,37.46887455552525,莱山区,初家街道,80.0
凤凰小区助餐点,121.44225936747982,37.47027166271143,莱山区,初家街道,45.0
宋家庄村助餐点,121.44127437548812,37.45656524125821,莱山区,初家街道,60.0
安康通综合养老服务中心助餐点,120.71477239937946,36.95732672619845,莱山区,初家街道,100.0
院格庄社区老年食堂,121.3666585147434,37.3174936728024,莱山区,院格庄街道,80.0
北格庄社区老年食堂,121.39762526160554,37.329458098812935,莱山区,院格庄街道,150.0
马格庄社区老年食堂,120.88226101256208,37.80392205241294,莱山区,院格庄街道,148.0
沐浴社区老年食堂,121.37474056941666,37.58359014166243,莱山区,院格庄街道,100.0
初家汤村老年食堂,121.43897426422984,37.47078268288547,莱山区,院格庄街道,150.0
郑家庄村老年食堂,121.37504985600374,37.30137054614338,莱山区,院格庄街道,80.0
万光府前花园老年食堂,121.44999395758184,37.46504598027373,莱山区,滨海路街道,90.0
秀林日间照料中心助餐点,120.5529962007653,37.465833006792735,莱山区,滨海路街道,85.0
福地隆城社区助餐点,121.47948272238844,37.45521127525563,莱山区,滨海路街道,80.0
孔辛头助餐点,121.4539085933332,37.319116261637774,莱山区,解甲庄街道,120.0
车家助餐点,121.22944162944984,37.553202719984384,莱山区,解甲庄街道,90.0
南水桃林助餐点,120.9526391170635,36.66653629451933,莱山区,解甲庄街道,114.0
冶头东助餐点,121.4616260258,37.33851750535095,莱山区,解甲庄街道,100.0
北水桃林助餐点,120.9526391170635,36.66653629451933,莱山区,解甲庄街道,83.0
林家疃助餐点,121.46662374850474,37.36533568920925,莱山区,解甲庄街道,100.0
朱柳助餐点,121.47871799490778,37.36840394247981,莱山区,解甲庄街道,84.0
李家疃助餐点,120.56995557997983,37.73380611292425,莱山区,解甲庄街道,80.0
丁家夼助餐点,121.45948716038072,37.40055605545864,莱山区,解甲庄街道,83.0
解家河助餐点,121.48141165381,37.400161802790215,莱山区,解甲庄街道,150.0
繁荣庄助餐点,121.48857069957178,37.38600759948583,莱山区,解甲庄街道,100.0
大山后助餐点,121.50248473327692,37.38845209681595,莱山区,解甲庄街道,90.0
东解甲庄助餐点,121.45441541730196,37.470038383730525,莱山区,解甲庄街道,110.0
西解甲庄助餐点,121.45441541730196,37.470038383730525,莱山区,解甲庄街道,80.0
冶头北助餐点,121.45441541730196,37.470038383730525,莱山区,解甲庄街道,80.0
冶头南助餐点,121.4535073202619,37.33888267618836,莱山区,解甲庄街道,80.0
姜家疃助餐点,120.5309984056064,37.63397262593307,莱山区,解甲庄街道,80.0
秀林老年福利中心综合助餐点,121.42307901772244,37.418948150144416,莱山区,莱山经济开发区,668.0
曹家庄社区综合助餐点,121.4101625522861,37.457183777639806,莱山区,莱山经济开发区,500.0
盛水庄助餐点,121.45083791560845,37.440436643693126,莱山区,莱山经济开发区,30.0
杰瑞社区老年食堂,121.37474056941666,37.58359014166243,莱山区,莱山经济开发区,380.0
刘家庄村助餐点,121.01542267729192,37.66972655640468,莱山区,莱山经济开发区,40.0
祁家屯村助餐点,121.43302433768449,37.43226758393359,莱山区,莱山经济开发区,85.0
石家疃村助餐点,121.42781353691277,37.41115393844196,莱山区,莱山经济开发区,47.0
两甲埠村助餐点,121.3903519513829,37.42293758948679,莱山区,莱山经济开发区,30.0
黄家疃村助餐点,121.40725833057236,37.41498508051686,莱山区,莱山经济开发区,85.0
何家屯社区助餐点,121.42025977570992,37.42843102906066,莱山区,莱山经济开发区,260.0
杏花苑社区食堂,120.39942036366013,37.389996084262734,蓬莱区,紫荆山街道南环路666号,300.0
海景苑社区食堂,120.39942036366013,37.389996084262734,蓬莱区,海市路5号盛唐快捷酒店院内,238.0
长者食堂南山康养中心店,120.50248430227816,37.58315918559737,龙口市,龙口市南山康养中心,2000.0
长者食堂海岱社区一店,120.5354305551621,37.66351738245297,龙口市,阿波罗生物科技有限公司,300.0
长者食堂财源社区一店,120.5354305551621,37.66351738245297,龙口市,龙口市港城大道369号,180.0
长者食堂怡静社区一店,120.53537890259528,37.66399885871808,龙口市,龙口市电业小区,160.0
长者食堂花苑社区一店,120.5354305551621,37.66351738245297,龙口市,龙口市花苑社区,180.0
长者食堂胜利社区店,120.5354305551621,37.66351738245297,龙口市,龙口市胜利小区,500.0
长者食堂九南社区店,120.49754110671785,37.63614782939855,龙口市,龙口市东江街道九里城,450.0
长者食堂归城董家店,120.5354305551621,37.66351738245297,龙口市,龙口市兰高镇归城董家,300.0
长者食堂明德社区一店,120.50829202706126,37.65066997276447,龙口市,龙口市东莱街道幸福里小区,360.0
长者食堂驿东社区店,120.5354305551621,37.66351738245297,龙口市,龙口市黄山馆镇驿东小区,150.0
长者食堂柳行社区店,120.5354305551621,37.66351738245297,龙口市,龙口市东莱街道柳行小区南首,300.0
西小区助餐点,121.45441541730196,37.470038383730525,莱州市,永安路街道西小区社区,60.0
仁爱桃源助餐点,119.9438447242748,37.18533668618109,莱州市,永安路街道西关社区,80.0
玉皇苑小区助餐点,119.94974407621991,37.21970838826581,莱州市,城港路街道玉皇苑社区,80.0
云峰名苑助餐点,119.97554179351656,37.18436642343952,莱州市,莱州市东苑路,32.65
芳馨苑助餐点,119.9536486509496,37.21025667881538,莱州市,开宝路4187号,55.18
开建宝第助餐点,119.95839601590872,37.18682005194052,莱州市,文化东街,35.5
金地家园助餐点,119.9429143492581,37.17593986835092,莱州市,文泉西街,33.7
开建小区助餐点,119.95044394604275,37.216424221318206,莱州市,西郎子埠村北,44.0
康馨苑助餐点,119.95853606173772,37.21143698634147,莱州市,东郎子埠开元路西玉前路南,67.1
福鑫花园助餐点,121.04546632541202,37.48929896903181,莱州市,啤酒厂南,71.5
天和苑助餐点,120.84022660283368,37.320179624704,莱州市,莱州市东苑路与五里街交汇处566号,32.12
金都社区助餐点,121.36125601557583,37.47621172349869,莱州市,莱州北路金都社区,100.0
云峰花园社区助餐点,120.41224448329,37.37670584698894,莱州市,五里街1059号,100.0
子福馄饨助餐点,119.96004000482252,37.20988635142543,莱州市,城港街道开元路127号,50.0
浩娟黄焖鸡助餐点,121.33509241844496,37.48098494970255,莱州市,城港十里庄园小区,45.0
东耀饭店助餐点,121.45441541730196,37.470038383730525,莱州市,光州东路475号,50.0
世纪羊肉村助餐点,119.94451503984632,37.18707190063685,莱州市,文化西路,160.0
泉涌助餐点,121.45441541730196,37.470038383730525,莱州市,教育路西门,80.0
回家吃饭助餐点,120.71292000358731,36.96853182653373,莱州市,府前西街139号,100.0
骄子聚助餐点,120.49179069382627,37.59815115993543,莱州市,府前东街文博苑小区,50.0
丰鑫747鱼馆助餐点,119.9443572973988,37.17517098039465,莱州市,文泉西街,50.0
竹林源助餐点,119.9634488945718,37.18173991611975,莱州市,云峰小区,90.0
浩顺助餐点,121.45441541730196,37.470038383730525,莱州市,教育路小区东门,40.0
