时间,地区,出生人数,出生率,死亡人数,死亡率,增长人数,增长率,年平均人口
2011,莱州市,5006,5.83,7872,9.17,-2866,-3.34,858744
2011,蓬莱市,2695,5.99,3293,7.32,-598,-1.33,450035
2011,招远市,3405,5.97,4976,8.72,-1571,-2.75,570629
2011,栖霞市,3636,5.8,4247,6.78,-611,-0.98,626379
2011,海阳市,3931,5.92,3929,5.91,2,0,664449
2011,长岛县,178,4.14,301,6.99,-123,-2.86,43042
2010,全市,49936,7.66,65762,10.09,-15826,-2.43,6515713
2010,市区,16567,9.25,15429,8.62,1138,0.63,1790712
2010,芝罘区,6757,9.89,3377,4.94,3380,4.95,683008
2010,福山区,2727,10.62,3310,12.89,-583,-2.27,256885
2010,牟平区,2645,5.82,5647,12.42,-3002,-6.6,454719
2010,莱山区,2125,10.95,1490,7.68,635,3.27,194083
2010,开发区,2046,11.5,1417,7.97,629,3.53,177845
2010,高新区,267,11.05,188,7.78,79,3.27,24173
2010,龙口市,4742,7.48,4963,7.83,-221,-0.35,633641
2010,莱阳市,7200,8.23,9257,10.58,-2057,-2.35,875098
2010,莱州市,5831,6.79,8657,10.07,-2826,-3.28,859276
2010,蓬莱市,3028,6.73,3995,8.88,-967,-2.15,449790
2010,招远市,3488,6.11,5861,10.27,-2373,-4.16,570735
2010,栖霞市,4333,6.9,8414,13.4,-4081,-6.5,628089
2010,海阳市,4543,6.83,8808,13.24,-4265,-6.41,665271
2010,长岛县,204,4.73,378,8.77,-174,-4.04,43104
2009,全市,44215,6.78,47971,7.36,-3756,-0.58,6518468
2009,市区,14332,7.99,9188,5.12,5144,2.87,1793188
2009,芝罘区,5853,8.54,3153,4.6,2700,3.94,685383
2009,福山区,2407,9.44,1826,7.16,581,2.28,254972
2009,牟平区,2622,5.76,2200,4.83,422,0.93,455202
2009,莱山区,1647,8.36,1132,5.75,515,2.62,196926
2009,开发区,1644,9.35,705,4.01,939,5.34,175872
2009,高新区,159,6.4,172,6.93,-13,-0.52,24834
2009,龙口市,3972,6.27,4447,7.02,-475,-0.75,633390
2009,莱阳市,6556,7.49,6585,7.52,-29,-0.03,875618
2009,莱州市,4820,5.61,7530,8.77,-2710,-3.15,859092
2009,蓬莱市,2897,6.46,3601,8.02,-704,-1.57,448727
2009,招远市,3295,5.78,4987,8.75,-1692,-2.97,569680
2009,栖霞市,3963,6.3,4832,7.68,-869,-1.38,628937
2009,海阳市,4199,6.3,6577,9.87,-2378,-3.57,666698
2009,长岛县,181,4.2,224,5.19,-43,-1,43139
