城市,经度,纬度,经度_y,纬度_y,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,NO2,CO,O3,年,月
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年10月,128,64~243,轻度污染,91,174,34.0,61.0,1.313,96.0,2015,10
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年11月,147,42~337,轻度污染,114,158,43.0,59.0,1.89,41.0,2015,11
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2015年12月,199,56~496,中度污染,158,232,71.0,70.0,2.11,34.0,2015,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年1月,164,63~436,中度污染,126,193,80.0,68.0,2.003,39.0,2016,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年2月,112,37~241,轻度污染,81,140,57.0,44.0,1.362,74.0,2016,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年3月,123,71~237,轻度污染,80,185,51.0,48.0,1.11,101.0,2016,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年4月,128,72~211,轻度污染,82,202,40.0,45.0,1.09,128.0,2016,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年5月,110,63~295,轻度污染,58,129,28.0,38.0,0.906,143.0,2016,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年6月,118,77~171,轻度污染,51,103,24.0,33.0,0.933,178.0,2016,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年7月,100,37~170,轻度污染,61,109,21.0,35.0,0.99,143.0,2016,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年8月,81,51~148,良,42,88,23.0,35.0,1.029,119.0,2016,8
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年9月,109,59~173,轻度污染,60,132,27.0,56.0,1.107,155.0,2016,9
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年10月,88,50~160,良,58,118,22.0,53.0,1.158,70.0,2016,10
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年11月,111,34~226,轻度污染,79,151,31.0,57.0,1.33,46.0,2016,11
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2016年12月,164,62~500,中度污染,126,203,46.0,63.0,1.877,41.0,2016,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年1月,172,58~416,中度污染,130,209,49.0,61.0,2.139,46.0,2017,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年2月,114,55~236,轻度污染,83,148,44.0,50.0,1.286,81.0,2017,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年3月,100,60~149,良,68,141,31.0,54.0,1.071,93.0,2017,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年4月,99,72~207,良,60,134,22.0,47.0,1.017,108.0,2017,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年5月,125,69~222,轻度污染,42,98,21.0,35.0,0.826,168.0,2017,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年6月,130,49~202,轻度污染,54,108,21.0,37.0,0.887,190.0,2017,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年7月,99,51~207,良,51,98,13.0,35.0,0.974,136.0,2017,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年8月,93,42~152,良,37,75,12.0,39.0,0.858,145.0,2017,8
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年9月,99,58~169,良,39,93,14.0,46.0,0.803,156.0,2017,9
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年10月,86,28~157,良,56,111,16.0,54.0,1.113,84.0,2017,10
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年11月,93,41~155,良,55,133,23.0,54.0,0.99,67.0,2017,11
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2017年12月,125,52~310,轻度污染,88,163,35.0,63.0,1.435,27.0,2017,12
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年1月,126,51~264,轻度污染,93,152,33.0,57.0,1.303,49.0,2018,1
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年2月,101,60~183,轻度污染,67,124,28.0,38.0,1.064,77.0,2018,2
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年3月,94,55~205,良,61,116,22.0,40.0,0.894,106.0,2018,3
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年4月,88,0~141,良,42,107,18.0,34.0,0.747,130.0,2018,4
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年5月,93,0~142,良,38,92,13.0,35.0,0.732,151.0,2018,5
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年6月,126,68~174,轻度污染,32,76,9.0,26.0,0.58,187.0,2018,6
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年7月,95,43~182,良,31,61,8.0,27.0,0.629,149.0,2018,7
济南,117.12639941261048,36.65655420178723,117.12639941261048,36.65655420178723,2018年8月,92,22~173,良,31,60,9.0,30.0,0.726,144.0,2018,8
