name1,name2,value
广告创意,静安区,6907.142857142857
广告创意,崇明区,0.0
广告创意,金山区,0.0
广告创意,奉贤区,0.0
美术指导,上海,5523.529411764706
美术指导,青浦区,0.0
美术指导,杨浦区,3600.0
美术指导,徐汇区,8184.615384615385
美术指导,浦东新区,4500.0
美术指导,长宁区,4750.0
美术指导,黄浦区,7500.0
美术指导,普陀区,300.0
美术指导,闵行区,4600.0
美术指导,松江区,5050.0
美术指导,虹口区,0.0
美术指导,宝山区,16000.0
美术指导,嘉定区,8000.0
美术指导,静安区,3690.909090909091
美术指导,崇明区,0.0
美术指导,金山区,0.0
美术指导,奉贤区,0.0
文案,上海,6808.870967741936
文案,青浦区,7944.444444444444
文案,杨浦区,6304.166666666667
文案,徐汇区,6545.1612903225805
文案,浦东新区,6321.538461538462
文案,长宁区,7021.0526315789475
文案,黄浦区,7375.675675675676
文案,普陀区,7032.4324324324325
文案,闵行区,7307.142857142857
文案,松江区,7800.0
文案,虹口区,6275.0
文案,宝山区,6476.923076923077
文案,嘉定区,6560.0
文案,静安区,6044.444444444444
文案,崇明区,0.0
文案,金山区,5500.0
文案,奉贤区,5885.714285714285
媒介,上海,6693.548387096775
媒介,青浦区,6500.0
媒介,杨浦区,5583.333333333333
媒介,徐汇区,6165.517241379311
媒介,浦东新区,9350.0
媒介,长宁区,6840.0
媒介,黄浦区,7346.428571428572
媒介,普陀区,5642.857142857143
媒介,闵行区,6264.705882352941
媒介,松江区,10000.0
媒介,虹口区,8000.0
媒介,宝山区,9000.0
媒介,嘉定区,350.0
媒介,静安区,8484.21052631579
媒介,崇明区,0.0
媒介,金山区,8000.0
媒介,奉贤区,0.0
网页设计,上海,6103.205128205128
网页设计,青浦区,4000.0
网页设计,杨浦区,5855.555555555556
网页设计,徐汇区,6395.238095238095
网页设计,浦东新区,6925.925925925926
网页设计,长宁区,6947.058823529412
网页设计,黄浦区,3845.0
网页设计,普陀区,6630.7692307692305
网页设计,闵行区,6835.714285714285
网页设计,松江区,6428.571428571428
网页设计,虹口区,4860.0
网页设计,宝山区,5900.0
网页设计,嘉定区,6166.666666666667
网页设计,静安区,6788.888888888889
网页设计,崇明区,0.0
网页设计,金山区,4200.0
网页设计,奉贤区,5500.0
插画师,上海,7727.272727272727
插画师,青浦区,0.0
插画师,杨浦区,8000.0
插画师,徐汇区,0.0
插画师,浦东新区,8400.0
插画师,长宁区,200.0
插画师,黄浦区,5433.333333333333
插画师,普陀区,0.0
插画师,闵行区,4000.0
插画师,松江区,8000.0
插画师,虹口区,0.0
插画师,宝山区,10000.0
插画师,嘉定区,8000.0
插画师,静安区,8000.0
插画师,崇明区,0.0
插画师,金山区,3000.0
插画师,奉贤区,0.0
工业设计,上海,7057.291666666667
工业设计,青浦区,8000.0
工业设计,杨浦区,7750.0
工业设计,徐汇区,7214.285714285715
工业设计,浦东新区,7437.5
工业设计,长宁区,800.0
工业设计,黄浦区,10000.0
工业设计,普陀区,0.0
工业设计,闵行区,6558.333333333333
工业设计,松江区,6014.285714285715
工业设计,虹口区,0.0
工业设计,宝山区,7000.0
工业设计,嘉定区,7216.666666666667
工业设计,静安区,8666.666666666666
工业设计,崇明区,0.0
工业设计,金山区,0.0
工业设计,奉贤区,0.0
视觉设计,上海,7206.857142857143
视觉设计,青浦区,8800.0
视觉设计,杨浦区,6300.0
视觉设计,徐汇区,4690.625
视觉设计,浦东新区,8238.805970149253
视觉设计,长宁区,6176.923076923077
视觉设计,黄浦区,6240.0
视觉设计,普陀区,6693.75
视觉设计,闵行区,6454.545454545455
视觉设计,松江区,7500.0
视觉设计,虹口区,7666.666666666667
视觉设计,宝山区,14000.0
视觉设计,嘉定区,6186.666666666667
视觉设计,静安区,12656.25
视觉设计,崇明区,0.0
视觉设计,金山区,0.0
视觉设计,奉贤区,6500.0
教师,上海,8326.121372031663
教师,青浦区,7714.285714285715
教师,杨浦区,5619.444444444444
教师,徐汇区,6993.877551020408
教师,浦东新区,5902.142857142857
教师,长宁区,4481.818181818182
教师,黄浦区,8536.0
教师,普陀区,7588.461538461538
教师,闵行区,5085.9375
教师,松江区,7710.714285714285
教师,虹口区,5258.139534883721
教师,宝山区,5450.0
教师,嘉定区,7937.5
教师,静安区,6936.8421052631575
教师,崇明区,5000.0
教师,金山区,9140.0
教师,奉贤区,9087.719298245614
英语,上海,7547.671232876713
英语,青浦区,6127.272727272727
英语,杨浦区,7072.340425531915
英语,徐汇区,8301.694915254237
英语,浦东新区,6666.666666666667
英语,长宁区,7500.0
英语,黄浦区,7607.317073170731
英语,普陀区,5507.142857142857
英语,闵行区,5920.289855072464
英语,松江区,6711.538461538462
英语,虹口区,6330.0
英语,宝山区,7085.0
英语,嘉定区,7645.833333333333
英语,静安区,6815.909090909091
英语,崇明区,7000.0
英语,金山区,7136.363636363636
英语,奉贤区,7709.523809523809
美术老师,上海,5892.222222222223
美术老师,青浦区,8166.666666666667
美术老师,杨浦区,5947.368421052632
美术老师,徐汇区,7166.666666666667
美术老师,浦东新区,8307.692307692309
美术老师,长宁区,8666.666666666666
美术老师,黄浦区,6000.0
美术老师,普陀区,5909.090909090909
美术老师,闵行区,7285.714285714285
美术老师,松江区,8000.0
美术老师,虹口区,6500.0
美术老师,宝山区,6956.521739130435
美术老师,嘉定区,6000.0
美术老师,静安区,5366.666666666667
美术老师,崇明区,0.0
美术老师,金山区,3000.0
美术老师,奉贤区,7000.0
幼教,上海,5624.074074074074
幼教,青浦区,5305.555555555556
幼教,杨浦区,5104.761904761905
幼教,徐汇区,4892.857142857143
幼教,浦东新区,5218.367346938776
幼教,长宁区,4812.5
幼教,黄浦区,7200.0
幼教,普陀区,4735.294117647059
幼教,闵行区,5057.575757575758
幼教,松江区,4875.0
幼教,虹口区,4750.0
幼教,宝山区,7117.64705882353
幼教,嘉定区,5078.9473684210525
幼教,静安区,6357.142857142857
幼教,崇明区,3500.0
幼教,金山区,2980.0
幼教,奉贤区,2250.0
小学教师,上海,7887.3015873015875
小学教师,青浦区,0.0
小学教师,杨浦区,9500.0
小学教师,徐汇区,8000.0
小学教师,浦东新区,8458.333333333334
小学教师,长宁区,9000.0
小学教师,黄浦区,8400.0
小学教师,普陀区,8000.0
小学教师,闵行区,8000.0
小学教师,松江区,0.0
小学教师,虹口区,8800.0
小学教师,宝山区,9200.0
小学教师,嘉定区,8571.42857142857
小学教师,静安区,6666.666666666667
小学教师,崇明区,0.0
小学教师,金山区,8000.0
小学教师,奉贤区,0.0
班主任,上海,7318.848167539267
班主任,青浦区,8133.333333333333
班主任,杨浦区,6558.823529411765
班主任,徐汇区,6980.0
班主任,浦东新区,6800.0
班主任,长宁区,7750.0
班主任,黄浦区,8333.333333333334
班主任,普陀区,6458.0
班主任,闵行区,7988.679245283019
班主任,松江区,8666.666666666666
班主任,虹口区,7164.772727272727
班主任,宝山区,8428.57142857143
班主任,嘉定区,7115.384615384615
班主任,静安区,6325.0
班主任,崇明区,6000.0
班主任,金山区,8000.0
班主任,奉贤区,9000.0
摄影师,上海,6324.285714285715
摄影师,青浦区,8125.0
摄影师,杨浦区,6666.666666666667
摄影师,徐汇区,5333.333333333333
摄影师,浦东新区,5433.333333333333
摄影师,长宁区,6600.0
摄影师,黄浦区,7050.0
摄影师,普陀区,6590.909090909091
摄影师,闵行区,7046.153846153846
摄影师,松江区,6444.444444444444
摄影师,虹口区,7000.0
摄影师,宝山区,6000.0
摄影师,嘉定区,6800.0
摄影师,静安区,7842.105263157895
摄影师,崇明区,0.0
摄影师,金山区,6000.0
摄影师,奉贤区,7000.0
摄影,上海,6104.0
摄影,青浦区,7750.0
摄影,杨浦区,7500.0
摄影,徐汇区,5187.5
摄影,浦东新区,4964.285714285715
摄影,长宁区,7333.333333333333
摄影,黄浦区,5742.857142857143
摄影,普陀区,5916.666666666667
摄影,闵行区,7063.1578947368425
摄影,松江区,7250.0
摄影,虹口区,5000.0
摄影,宝山区,5000.0
摄影,嘉定区,7500.0
摄影,静安区,7500.0
摄影,崇明区,0.0
摄影,金山区,5500.0
摄影,奉贤区,6500.0
制片,上海,6333.333333333333
制片,青浦区,0.0
制片,杨浦区,0.0
制片,徐汇区,5100.0
制片,浦东新区,0.0
制片,长宁区,7000.0
制片,黄浦区,6333.333333333333
制片,普陀区,6000.0
制片,闵行区,4500.0
制片,松江区,10000.0
制片,虹口区,0.0
制片,宝山区,0.0
制片,嘉定区,0.0
制片,静安区,7750.0
制片,崇明区,0.0
制片,金山区,0.0
制片,奉贤区,0.0
记者,上海,7650.0
记者,青浦区,4250.0
记者,杨浦区,600.0
记者,徐汇区,9200.0
记者,浦东新区,5840.0
记者,长宁区,5625.0
记者,黄浦区,6333.333333333333
记者,普陀区,9000.0
记者,闵行区,9000.0
记者,松江区,8000.0
记者,虹口区,0.0
记者,宝山区,3750.0
记者,嘉定区,8000.0
记者,静安区,6750.0
记者,崇明区,0.0
记者,金山区,0.0
记者,奉贤区,200.0
剪辑,上海,7087.628865979382
剪辑,青浦区,7500.0
剪辑,杨浦区,6278.571428571428
剪辑,徐汇区,7412.0
剪辑,浦东新区,6641.304347826087
剪辑,长宁区,7291.666666666667
剪辑,黄浦区,6953.333333333333
剪辑,普陀区,7236.8421052631575
剪辑,闵行区,7074.418604651163
剪辑,松江区,7857.142857142857
剪辑,虹口区,5700.0
剪辑,宝山区,6220.0
剪辑,嘉定区,7129.411764705882
剪辑,静安区,7119.047619047619
剪辑,崇明区,0.0
剪辑,金山区,0.0
剪辑,奉贤区,8000.0
策划经理,上海,6851.162790697675
策划经理,青浦区,7187.5
策划经理,杨浦区,6500.0
策划经理,徐汇区,6622.916666666667
策划经理,浦东新区,6810.526315789473
策划经理,长宁区,4323.529411764706
策划经理,黄浦区,8780.952380952382
策划经理,普陀区,5327.586206896552
策划经理,闵行区,6739.473684210527
策划经理,松江区,7983.333333333333
策划经理,虹口区,5185.714285714285
策划经理,宝山区,10145.454545454546
策划经理,嘉定区,5640.0
